,ticker,figi,type,name,country_of_rick
192,OSUR,BBG000J3D1Y8,shares,OraSure Technologies Inc,US
193,ORLY,BBG000BGYWY6,shares,O'Reilly Automotive,US
194,AVNS,BBG005L86G05,shares,Avanos Medical Inc,US
195,ALT,BBG000FXML90,shares,Altimmune,US
196,DUK,BBG000BHGDH5,shares,Duke Energy Corp,US
197,HNFG,TCS00A106XF2,shares,HENDERSON,RU
198,BWXT,BBG000D86F25,shares,BWX Technologies,US
199,RS,BBG000CJ2181,shares,"Reliance, Inc.",US
200,HHRU,TCS2207L1061,shares,HeadHunter Group PLC,RU
201,PRTS,BBG000N26V95,shares,CarParts.com,US
202,CAH,BBG000D898T9,shares,Cardinal Health,US
203,868,BBG000LG6G08,shares,Xinyi Glass Holdings,
204,KEY,BBG000BMQPL1,shares,KeyCorp,US
205,LNZL,BBG000SK7JS5,shares,Лензолото,RU
206,ALG,BBG000BJTZX0,shares,Alamo Group Inc.,US
207,PLCE,BBG000JK9DK4,shares,Children's Place Inc The,US
208,CACI,BBG000KQY8Y7,shares,CACI International,US
209,VST,BBG00DXDL6Q1,shares,Vistra,US
210,WTS,BBG000C4Z6C2,shares,Watts Water Technologies Inc,US
211,JBSS,BBG000CHPMY5,shares,John B Sanfilippo & Son Inc,US
212,MDB,BBG0022FDRY8,shares,MongoDB Inc,US
213,NOK,BBG000BNGBW9,shares,Nokia,FI
214,WH,BBG00HCY3Q67,shares,Wyndham Hotels & Resorts,US
215,UDR,BBG000C41023,shares,UDR REIT,US
216,BLK,BBG000C2PW58,shares,BlackRock,US
217,SELG,BBG002458LF8,shares,Селигдар,RU
218,OKE,BBG000BQHGR6,shares,ONEOK,US
219,OMC,BBG000BS9489,shares,Omnicom Group,US
220,NIC,BBG000QK0TG5,shares,Nicolet Bankshares,US
221,TASK,BBG009CL6VK3,shares,TaskUs,US
222,IOSP,BBG000BMFNP4,shares,Innospec,US
223,TATNP,BBG004S68829,shares,Татнефть - привилегированные акции,RU
224,ALLO,BBG00KHRRDX3,shares,Allogene Therapeutics Inc,US
225,AOS,BBG000BC1L02,shares,A. O. Smith Corporation,US
226,1099,BBG000VWV3Z5,shares,Sinopharm Group,CN
227,CB,BBG000BR14K5,shares,Chubb,US
228,SLAV,TCS009086904,shares,Славнефть,RU
229,METC,BBG00BCQJ2X3,shares,Ramaco Resources Inc,US
230,SQ,BBG0018SLC07,shares,Block,US
231,OLED,BBG000BLRP41,shares,Universal Display Corp,US
232,DVA,BBG000MQ1SN9,shares,DaVita HealthCare Partners,US
233,FLWS,BBG000BBR9P6,shares,1-800-Flowers.com Inc,US
234,CSL,BBG000BGGBT8,shares,Carlisle Companies Incorporated,US
235,2319,BBG000PXTGY5,shares,China Mengniu Dairy,CN
236,NYT,BBG000FFC0B3,shares,New York Times,US
237,LEGH,BBG00MJDR6J9,shares,Legacy Housing Corp,US
238,SWK,BBG000BTQR96,shares,Stanley Black & Decker,US
239,MOS,BBG000BFXHL6,shares,Mosaic,US
240,PRFN,TCS00A0JNXF9,shares,ЧЗПСН,RU
241,MASI,BBG000C3W281,shares,Masimo Corporation,US
242,ANF,BBG000H9G7X2,shares,Abercrombie & Fitch,US
243,2202,BBG006KY4KF4,shares,China Vanke,CN
244,FSLR,BBG000BFL116,shares,First Solar,US
