,code,stock_name,trd_side,order_type,order_status,order_id,qty,price,create_time,updated_time,dealt_qty,dealt_avg_price,last_err_msg,remark,time_in_force,fill_outside_rth,aux_price,trail_type,trail_value,trail_spread,currency
20,US.CMG,Chipotle Mexican Grill,SELL,LIMIT_IF_TOUCHED,WAITING_SUBMIT,FA195AE220BF3B2000,18.0,54.01,2024-08-23 12:33:00.095,2024-08-23 12:33:00.353,0.0,0.0,,,GTC,True,54.0141,N/A,N/A,N/A,USD
21,US.CMG,Chipotle Mexican Grill,BUY,LIMIT_IF_TOUCHED,FILLED_ALL,FA195AE1D1EF04A000,18.0,53.74,2024-08-23 12:31:39.392,2024-08-23 12:32:29.385,18.0,53.7395,,,GTC,False,53.731700000000004,N/A,N/A,N/A,USD
22,US.AMD,Advanced Micro Devices,SELL,STOP,WAITING_SUBMIT,FA195ADCDFD9FB2000,7.0,0.0,2024-08-23 12:10:02.921,2024-08-23 12:10:03.304,0.0,0.0,,,GTC,False,147.572,N/A,N/A,N/A,USD
23,US.AMD,Advanced Micro Devices,SELL,LIMIT_IF_TOUCHED,WAITING_SUBMIT,FA195ADCDEA384A000,7.0,156.15,2024-08-23 12:10:01.681,2024-08-23 12:10:02.936,0.0,0.0,,,GTC,True,156.1625,N/A,N/A,N/A,USD
24,US.NXPI,NXP Semiconductors,SELL,STOP,WAITING_SUBMIT,FA195ADCDE0A04A000,5.0,0.0,2024-08-23 12:10:01.066,2024-08-23 12:10:01.402,0.0,0.0,,,GTC,False,239.8108,N/A,N/A,N/A,USD
25,US.NXPI,NXP Semiconductors,SELL,LIMIT_IF_TOUCHED,WAITING_SUBMIT,FA195ADCDD993B2000,5.0,253.75,2024-08-23 12:10:00.617,2024-08-23 12:10:00.946,0.0,0.0,,,GTC,True,253.7707,N/A,N/A,N/A,USD
26,US.AMD,Advanced Micro Devices,SELL,STOP,CANCELLED_ALL,FA195ADC38477B2000,7.0,0.0,2024-08-23 12:07:11.328,2024-08-23 12:10:34.522,0.0,0.0,,,GTC,False,147.572,N/A,N/A,N/A,USD
27,US.AMD,Advanced Micro Devices,SELL,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195ADC364144A000,7.0,156.15,2024-08-23 12:07:09.258,2024-08-23 12:10:36.777,0.0,0.0,,,GTC,True,156.1625,N/A,N/A,N/A,USD
28,US.NXPI,NXP Semiconductors,SELL,STOP,CANCELLED_ALL,FA195ADC2F387B2000,5.0,0.0,2024-08-23 12:07:02.052,2024-08-23 12:10:42.337,0.0,0.0,,,GTC,False,239.8108,N/A,N/A,N/A,USD
29,US.NXPI,NXP Semiconductors,SELL,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195ADC2AE07B2000,5.0,253.75,2024-08-23 12:06:57.603,2024-08-23 12:10:39.500,0.0,0.0,,,GTC,True,253.7707,N/A,N/A,N/A,USD
30,US.AMD,Advanced Micro Devices,SELL,STOP,CANCELLED_ALL,FA195ADB8A0EC4A000,7.0,0.0,2024-08-23 12:04:12.925,2024-08-23 12:07:24.039,0.0,0.0,,,GTC,False,147.572,N/A,N/A,N/A,USD
31,US.AMD,Advanced Micro Devices,SELL,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195ADB78D2C4A000,7.0,156.15,2024-08-23 12:03:55.280,2024-08-23 12:07:26.261,0.0,0.0,,,GTC,True,156.1625,N/A,N/A,N/A,USD
32,US.NXPI,NXP Semiconductors,SELL,STOP,CANCELLED_ALL,FA195ADB440344A000,5.0,0.0,2024-08-23 12:03:01.201,2024-08-23 12:07:32.327,0.0,0.0,,,GTC,False,239.8108,N/A,N/A,N/A,USD
33,US.NXPI,NXP Semiconductors,SELL,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195ADB11E3FB2000,5.0,253.75,2024-08-23 12:02:09.873,2024-08-23 12:07:29.355,0.0,0.0,,,GTC,True,253.7707,N/A,N/A,N/A,USD
