,id,ticker,buy_time,buy_price,buy_sum,buy_commission,sell_time,sell_price,sell_sum,sell_commission,stocks_number,status,gain_coef,lose_coef,trailing_LIT_gain_coef,trailing_ratio,profit,buy_order_id,limit_if_touched_order_id,stop_order_id,trailing_LIT_order_id,trailing_stop_limit_order_id,buy_condition_type,tech_indicators,timezone
61,12.0,CDNS,2024-09-12 05:39:55.619000,263.3656,2106.9248,,2024-09-12 06:46:21.117,263.88,2111.04,0.09,8.0,completed,1.005,0.995,1.006,0.15,,FA1973831E6A44A000,,FA197384141284A000,FA19738414763B2000,FA19738507E884A000,1m,"mv :23.72, mv_2m:-0.47,mv_5m : -0.88, mv_30m : 13.98, mv_60m: 17.96",E. Australia Standard Time
62,2.0,NFLX,2024-09-12 23:56:01.597000,689.07,2067.21,,2024-09-13 01:11:23.234,691.25,2073.75,0.07999999999999999,3.0,completed,1.005,0.995,1.006,0.15,,FA19747DFF17C4A000,,FA19747E73617B2000,FA19747E73CA04A000,FA1974819BBEC4A000,1m,"mv :-10.81, mv_2m:-0.66,  mv_5m : 4.99, mv_30m : -3.77, mv_60m: -3.77",E. Australia Standard Time
63,6.0,MU,2024-09-13 00:45:45.875000,86.78,2169.5,0.08,2024-09-13 01:54:37.358,86.3123,2157.8075,0.15,25.0,completed,1.005,0.995,1.006,0.15,-11.92250000000011,FA197489615104A000,,FA19748A2F8984A000,FA19748A2FEC04A000,,1m,"mv :-9.03, mv_2m:0.77,  mv_5m : 0.35, mv_30m : -1.76, mv_60m: -2.84",E. Australia Standard Time
64,0.0,JCI,2024-09-13 00:58:05.513000,70.425,2183.175,0.09,2024-09-13 04:53:05.012,70.7615,2193.6065,0.16,31.0,completed,1.005,0.995,1.0075,0.15,10.18150000000014,FA19748C33A0C4A000,,FA19748C7C337B2000,FA19748C7C967B2000,FA1974ADA6A73B2000,1m,"mv :0.82, mv_2m:0.26,  mv_5m : -0.19, mv_30m : -0.33, mv_60m: 1.84",E. Australia Standard Time
65,3.0,OXY,2024-09-13 01:40:56.565000,51.2097,2150.8074,,2024-09-13 05:47:29.234,50.9302,2139.0684,0.2,42.0,completed,1.005,0.995,1.006,0.15,,FA19749602647B2000,,FA1974974C4D04A000,FA1974974CB344A000,,1m,"mv :-13.52, mv_2m:0.06,  mv_5m : 1.28, mv_30m : -3.73, mv_60m: -3.31",E. Australia Standard Time
66,4.0,MPC,2024-09-13 01:41:25.167000,160.62,2088.06,0.04,2024-09-13 04:03:10.259,161.3957,2098.1441,0.12,13.0,completed,1.005,0.995,1.0065,0.15,9.924100000000037,FA1974961E55C4A000,,FA1974979F14C4A000,FA1974979F78BB2000,FA1974A5EDE13B2000,1m,"mv :-13.26, mv_2m:0.32,  mv_5m : 2.37, mv_30m : -5.56, mv_60m: -5.51",E. Australia Standard Time
67,5.0,KMB,2024-09-13 03:15:47.256000,142.05,2130.75,0.05,2024-09-13 06:45:11.360,142.39,2135.85,0.13,15.0,completed,1.005,0.995,1.006,0.15,4.919999999999909,FA1974ABB7AF44A000,,FA1974AC01F204A000,FA1974AC025BBB2000,FA1974C8F1E3BB2000,1m,"mv :-5.34, mv_2m:0.16,  mv_5m : -0.11, mv_30m : 2.30, mv_60m: 3.11",E. Australia Standard Time
68,7.0,PSA,2024-09-13 04:00:00.559000,358.12,2148.72,0.02,2024-09-13 23:06:48.042,355.86,2135.16,0.09,6.0,completed,1.005,0.995,1.006,0.15,-13.66999999999994,FA1974B5D6C744A000,,FA1974B67B2C7B2000,FA1974B67B93C4A000,,1m,"mv :4.54, mv_2m:-0.01,  mv_5m : 0.01, mv_30m : 2.34, mv_60m: 3.15",E. Australia Standard Time
69,9.0,MRNA,2024-09-13 04:58:14.441000,69.91,2167.21,0.09,2024-09-13 05:56:44.599,69.95,2168.45,0.16,31.0,completed,1.005,0.995,1.006,0.15,0.9900000000002364,FA1974C32ABF44A000,,FA1974C36445BB2000,FA1974C364A93B2000,FA1974C390D304A000,1m,"mv :-11.51, mv_2m:0.36,  mv_5m : 3.25, mv_30m : -5.03, mv_60m: -7.96",E. Australia Standard Time
70,11.0,CSX,2024-09-13 05:15:54.153000,33.3799,2169.6935,0.2,2024-09-13 08:51:02.504,33.33,2166.45,0.27,65.0,completed,1.005,0.995,1.006,0.15,-3.71350000000004,FA1974C7359E04A000,,FA1974C88C8C84A000,FA1974C88CF684A000,,1m,"mv :-8.38, mv_2m:0.02,  mv_5m : -0.39, mv_30m : -1.10, mv_60m: 0.48",E. Australia Standard Time
71,7.0,PYPL,2024-09-14 03:10:38.944000,70.235,2177.285,0.09,2024-09-14 04:56:41.370,70.37,2181.47,0.19,31.0,completed,1.005,0.995,1.006,0.15,3.9050000000004,FA1975F421BB84A000,,FA1975F59D7EC4A000,FA1975F59DEA84A000,FA1975FBD2BB04A000,1m,"mv :2.08, mv_2m:0.27,  mv_5m : -0.59, mv_30m : -0.61, mv_60m: -4.13",E. Australia Standard Time
72,10.0,CMG,2024-09-14 03:15:44.086000,56.3998,2199.5922,0.12,2024-09-14 06:55:05.711,56.1002,2187.9078,0.19,39.0,completed,1.005,0.995,1.006,0.15,-11.99440000000009,FA1975F54BB67B2000,,FA1975F65E12C4A000,FA1975F65E78BB2000,,1m,"mv :2.68, mv_2m:-0.08,  mv_5m : 0.93, mv_30m : 5.36, mv_60m: -4.31",E. Australia Standard Time
73,15.0,NUE,2024-09-14 03:45:29.345000,144.8263,2172.3945,,2024-09-14 04:56:33.046,143.96,2159.4,0.12,15.0,completed,1.005,0.995,1.006,0.15,,FA1975FC1B1944A000,,FA1975FD3D72BB2000,FA1975FD3DD7FB2000,,1m,"mv :5.33, mv_2m:-0.05,  mv_5m : -0.15, mv_30m : 2.49, mv_60m: 3.17",E. Australia Standard Time
74,22.0,BA,2024-09-14 04:48:27.887000,157.41,2046.33,,2024-09-14 05:54:21.023,157.507,2047.591,0.11,13.0,completed,1.005,0.995,1.006,0.15,,FA19760A850A7B2000,,FA19760B798A84A000,FA19760B79F1BB2000,FA19760C3CCF44A000,1m,"mv :0.15, mv_2m:-0.16,  mv_5m : 0.71, mv_30m : -0.86, mv_60m: 0.31",E. Australia Standard Time
75,24.0,CVS,2024-09-14 05:26:19.969000,57.8876,2199.7288,,2024-09-17 00:26:06.678,58.575,2225.85,0.18,38.0,completed,1.005,0.995,1.006,0.15,,FA1976132FD6C4A000,,FA197614A6EBFB2000,FA197614A750BB2000,FA19782EB6A23B2000,1m,"mv :1.64, mv_2m:0.09,  mv_5m : 0.39, mv_30m : 0.70, mv_60m: 0.41",E. Australia Standard Time
76,28.0,ABBV,2024-09-14 05:46:23.243000,194.35,2137.85,,2024-09-17 00:26:09.462,195.52,2150.72,0.09999999999999999,11.0,completed,1.005,0.995,1.006,0.15,,FA197617C6E4BB2000,,FA19761A474D84A000,FA19761A47B584A000,FA19782EB7557B2000,1m,"mv :3.64, mv_2m:0.13,  mv_5m : 0.25, mv_30m : 0.84, mv_60m: 1.61",E. Australia Standard Time
